mtp,wall_time
6.814406,10844.656416
10.532793,10861.412476
5.016926,10876.860718
7.405031,10895.347982
6.196706,10912.072649
5.816588,10927.703493
6.40043,10944.290585
6.504083,10961.373288
6.081563,10977.929049
7.825727,10994.692279
7.929029,11010.806415
6.588728,11027.604878
10.479703,11048.356207
4.960187,11061.878291
6.022392,11077.882053
8.070253,11094.947091
4.652745,11110.529068
5.67197,11127.583734
6.036151,11145.903272
6.275525,11161.156332
7.778554,11179.667496
6.093211,11194.995344
5.010172,11210.864502
6.471408,11227.530346
9.696264,11245.651153
5.891567,11261.77655
4.733133,11277.711184
6.065113,11293.95262
7.667668,11311.561653
8.126574,11329.068665
6.867078,11345.796112
5.011677,11360.866857
8.324377,11379.201468
8.48189,11396.423471
8.127854,11413.00675
5.920817,11427.835466
7.208506,11446.147259
8.672749,11462.609091
7.98215,11477.924106
5.228457,11495.112476
6.730783,11511.725997
10.940847,11527.918246
5.974036,11544.854089
6.006229,11560.933627
4.88911,11577.797562
8.751378,11596.656011
9.903571,11613.854077
7.372516,11629.291659
5.802634,11644.716376
8.754002,11662.69071
5.592094,11678.540156
5.45167,11694.419875
6.417261,11713.344087
7.36141,11729.128216
8.549222,11744.52394
7.1013,11762.196337
6.149021,11778.502832
6.244995,11794.442779
6.073946,11812.043876
7.556814,11829.467395
6.737632,11844.92005
5.638368,11861.548387
4.789361,11877.701882
6.847717,11894.787813
6.501682,11911.408087
6.398284,11929.353939
4.487519,11944.403467
6.041303,11961.935728
5.913041,11979.825738
19.705184,12010.627073
7.417126,12029.331369
6.293766,12046.246603
6.829156,12061.747964
22.484575,12094.403838
6.388107,12112.289942
5.498615,12128.433448
5.631839,12145.645399
7.439494,12163.362083
4.255633,12178.230349
4.866963,12195.783727
6.411531,12212.343673
6.521905,12229.430113
6.880837,12246.86006
6.228993,12262.136702
5.505464,12279.435346
6.033206,12294.946944
6.939849,12311.911841
5.461429,12328.412968
5.299852,12345.307557
5.791912,12362.767522
